Value,Correlation,Variable,Reference,Comparison
Retiree (status unknown),0.3926,EESTATU,alcohol_dependence,bipolar
Surviving Spouse/Depend.,0.3603,EESTATU,alcohol_dependence,bipolar
"Manufacturing, Durable Goods",0.6088,INDSTRY,alcohol_dependence,diabetes
"Manufacturing, Nondurable Goods",0.6653,INDSTRY,alcohol_dependence,diabetes
"Transportation, Communications, Utilities",0.4685,INDSTRY,alcohol_dependence,diabetes
Retail Trade,0.5828,INDSTRY,alcohol_dependence,diabetes
"Finance, Insurance, Real Estate",0.6401,INDSTRY,alcohol_dependence,diabetes
Services,0.4453,INDSTRY,alcohol_dependence,diabetes
"Oil & Gas Extraction, Mining",0.5953,INDSTRY,alcohol_dependence,diabetes
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,alcohol_dependence,diabetes
Construction,0.2835,INDSTRY,alcohol_dependence,diabetes
Wholesale,0.3191,INDSTRY,alcohol_dependence,diabetes
Salary Non-union,0.6314,EECLASS,alcohol_dependence,diabetes
Salary Other,0.4375,EECLASS,alcohol_dependence,diabetes
Hourly Non-union,0.4426,EECLASS,alcohol_dependence,diabetes
Hourly Union,0.6127,EECLASS,alcohol_dependence,diabetes
Hourly Other,0.4377,EECLASS,alcohol_dependence,diabetes
Non-union,0.6066,EECLASS,alcohol_dependence,diabetes
Union,0.4371,EECLASS,alcohol_dependence,diabetes
Unknown,0.6794,EECLASS,alcohol_dependence,diabetes
Salary Union,0.5151,EECLASS,alcohol_dependence,diabetes
Active Full Time,-0.1499,EESTATU,alcohol_dependence,diabetes
Active Part Time or Seasonal,0.5378,EESTATU,alcohol_dependence,diabetes
Early Retiree,0.5564,EESTATU,alcohol_dependence,diabetes
Medicare Eligible Retiree,0.5335,EESTATU,alcohol_dependence,diabetes
COBRA Continuee,0.2611,EESTATU,alcohol_dependence,diabetes
Long Term Disability,-0.0032,EESTATU,alcohol_dependence,diabetes
Other/Unknown,0.4594,EESTATU,alcohol_dependence,diabetes
Retiree (status unknown),0.5509,EESTATU,alcohol_dependence,diabetes
Surviving Spouse/Depend.,0.2889,EESTATU,alcohol_dependence,diabetes
"Manufacturing, Durable Goods",0.7144,INDSTRY,alcohol_dependence,drug_dependence
"Manufacturing, Nondurable Goods",0.846,INDSTRY,alcohol_dependence,drug_dependence
"Transportation, Communications, Utilities",0.6588,INDSTRY,alcohol_dependence,drug_dependence
Retail Trade,0.7772,INDSTRY,alcohol_dependence,drug_dependence
"Finance, Insurance, Real Estate",0.8167,INDSTRY,alcohol_dependence,drug_dependence
Services,0.7674,INDSTRY,alcohol_dependence,drug_dependence
"Oil & Gas Extraction, Mining",0.6125,INDSTRY,alcohol_dependence,drug_dependence
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,alcohol_dependence,drug_dependence
Construction,0.5933,INDSTRY,alcohol_dependence,drug_dependence
Wholesale,0.4343,INDSTRY,alcohol_dependence,drug_dependence
Salary Non-union,0.7258,EECLASS,alcohol_dependence,drug_dependence
Salary Other,0.5395,EECLASS,alcohol_dependence,drug_dependence
Hourly Non-union,0.6875,EECLASS,alcohol_dependence,drug_dependence
Hourly Union,0.7765,EECLASS,alcohol_dependence,drug_dependence
Hourly Other,0.5982,EECLASS,alcohol_dependence,drug_dependence
Non-union,0.8846,EECLASS,alcohol_dependence,drug_dependence
Union,0.48,EECLASS,alcohol_dependence,drug_dependence
Unknown,0.8708,EECLASS,alcohol_dependence,drug_dependence
Salary Union,0.596,EECLASS,alcohol_dependence,drug_dependence
Active Full Time,0.7417,EESTATU,alcohol_dependence,drug_dependence
Active Part Time or Seasonal,0.4775,EESTATU,alcohol_dependence,drug_dependence
Early Retiree,0.6607,EESTATU,alcohol_dependence,drug_dependence
Medicare Eligible Retiree,0.482,EESTATU,alcohol_dependence,drug_dependence
COBRA Continuee,0.5343,EESTATU,alcohol_dependence,drug_dependence
Long Term Disability,0.5497,EESTATU,alcohol_dependence,drug_dependence
Other/Unknown,0.4434,EESTATU,alcohol_dependence,drug_dependence
Retiree (status unknown),0.6348,EESTATU,alcohol_dependence,drug_dependence
Surviving Spouse/Depend.,0.4755,EESTATU,alcohol_dependence,drug_dependence
"Manufacturing, Durable Goods",0.5522,INDSTRY,alcohol_dependence,hypertension
"Manufacturing, Nondurable Goods",0.6827,INDSTRY,alcohol_dependence,hypertension
"Transportation, Communications, Utilities",0.3355,INDSTRY,alcohol_dependence,hypertension
Retail Trade,0.7082,INDSTRY,alcohol_dependence,hypertension
"Finance, Insurance, Real Estate",0.5559,INDSTRY,alcohol_dependence,hypertension
Services,0.4389,INDSTRY,alcohol_dependence,hypertension
"Oil & Gas Extraction, Mining",0.5219,INDSTRY,alcohol_dependence,hypertension
"Agriculture, Forestry, Fishing",1,INDSTRY,alcohol_dependence,hypertension
Construction,0.4691,INDSTRY,alcohol_dependence,hypertension
Wholesale,0.3416,INDSTRY,alcohol_dependence,hypertension
Salary Non-union,0.4822,EECLASS,alcohol_dependence,hypertension
Salary Other,0.4479,EECLASS,alcohol_dependence,hypertension
Hourly Non-union,0.4055,EECLASS,alcohol_dependence,hypertension
Hourly Union,0.6094,EECLASS,alcohol_dependence,hypertension
Hourly Other,0.4501,EECLASS,alcohol_dependence,hypertension
Non-union,0.5369,EECLASS,alcohol_dependence,hypertension
Union,0.5331,EECLASS,alcohol_dependence,hypertension
Unknown,0.6447,EECLASS,alcohol_dependence,hypertension
Salary Union,0.4906,EECLASS,alcohol_dependence,hypertension
Active Full Time,-0.3776,EESTATU,alcohol_dependence,hypertension
Active Part Time or Seasonal,0.4395,EESTATU,alcohol_dependence,hypertension
Early Retiree,0.5664,EESTATU,alcohol_dependence,hypertension
Medicare Eligible Retiree,0.4642,EESTATU,alcohol_dependence,hypertension
COBRA Continuee,0.3936,EESTATU,alcohol_dependence,hypertension
Long Term Disability,0.1522,EESTATU,alcohol_dependence,hypertension
Other/Unknown,0.3895,EESTATU,alcohol_dependence,hypertension
Retiree (status unknown),0.548,EESTATU,alcohol_dependence,hypertension
Surviving Spouse/Depend.,0.2697,EESTATU,alcohol_dependence,hypertension
"Manufacturing, Durable Goods",0.5527,INDSTRY,alcohol_dependence,lipid_metabolism
"Manufacturing, Nondurable Goods",0.6938,INDSTRY,alcohol_dependence,lipid_metabolism
"Transportation, Communications, Utilities",0.4195,INDSTRY,alcohol_dependence,lipid_metabolism
Retail Trade,0.4751,INDSTRY,alcohol_dependence,lipid_metabolism
"Finance, Insurance, Real Estate",0.6559,INDSTRY,alcohol_dependence,lipid_metabolism
Services,0.4857,INDSTRY,alcohol_dependence,lipid_metabolism
"Oil & Gas Extraction, Mining",0.5019,INDSTRY,alcohol_dependence,lipid_metabolism
"Agriculture, Forestry, Fishing",1,INDSTRY,alcohol_dependence,lipid_metabolism
Construction,0.3418,INDSTRY,alcohol_dependence,lipid_metabolism
Wholesale,0.3895,INDSTRY,alcohol_dependence,lipid_metabolism
Salary Non-union,0.5914,EECLASS,alcohol_dependence,lipid_metabolism
Salary Other,0.4264,EECLASS,alcohol_dependence,lipid_metabolism
Hourly Non-union,0.5306,EECLASS,alcohol_dependence,lipid_metabolism
Hourly Union,0.5968,EECLASS,alcohol_dependence,lipid_metabolism
Hourly Other,0.4413,EECLASS,alcohol_dependence,lipid_metabolism
Non-union,0.5841,EECLASS,alcohol_dependence,lipid_metabolism
Union,0.4512,EECLASS,alcohol_dependence,lipid_metabolism
Unknown,0.6649,EECLASS,alcohol_dependence,lipid_metabolism
Salary Union,0.5377,EECLASS,alcohol_dependence,lipid_metabolism
Active Full Time,0.0775,EESTATU,alcohol_dependence,lipid_metabolism
Active Part Time or Seasonal,0.1775,EESTATU,alcohol_dependence,lipid_metabolism
Early Retiree,0.5855,EESTATU,alcohol_dependence,lipid_metabolism
Medicare Eligible Retiree,0.5683,EESTATU,alcohol_dependence,lipid_metabolism
COBRA Continuee,0.3311,EESTATU,alcohol_dependence,lipid_metabolism
Long Term Disability,0.2165,EESTATU,alcohol_dependence,lipid_metabolism
Other/Unknown,0.3299,EESTATU,alcohol_dependence,lipid_metabolism
Retiree (status unknown),0.4468,EESTATU,alcohol_dependence,lipid_metabolism
Surviving Spouse/Depend.,0.3904,EESTATU,alcohol_dependence,lipid_metabolism
"Manufacturing, Durable Goods",0.5992,INDSTRY,alcohol_dependence,obesity
"Manufacturing, Nondurable Goods",0.6038,INDSTRY,alcohol_dependence,obesity
"Transportation, Communications, Utilities",0.5962,INDSTRY,alcohol_dependence,obesity
Retail Trade,0.5767,INDSTRY,alcohol_dependence,obesity
"Finance, Insurance, Real Estate",0.6028,INDSTRY,alcohol_dependence,obesity
Services,0.4908,INDSTRY,alcohol_dependence,obesity
"Oil & Gas Extraction, Mining",0.3596,INDSTRY,alcohol_dependence,obesity
"Agriculture, Forestry, Fishing",1,INDSTRY,alcohol_dependence,obesity
Construction,0.5679,INDSTRY,alcohol_dependence,obesity
Wholesale,0.4744,INDSTRY,alcohol_dependence,obesity
Salary Non-union,0.5335,EECLASS,alcohol_dependence,obesity
Salary Other,0.4927,EECLASS,alcohol_dependence,obesity
Hourly Non-union,0.4821,EECLASS,alcohol_dependence,obesity
Hourly Union,0.6556,EECLASS,alcohol_dependence,obesity
Hourly Other,0.5621,EECLASS,alcohol_dependence,obesity
Non-union,0.5143,EECLASS,alcohol_dependence,obesity
Union,0.5938,EECLASS,alcohol_dependence,obesity
Unknown,0.6859,EECLASS,alcohol_dependence,obesity
Salary Union,0.4091,EECLASS,alcohol_dependence,obesity
Active Full Time,0.1877,EESTATU,alcohol_dependence,obesity
Active Part Time or Seasonal,0.453,EESTATU,alcohol_dependence,obesity
Early Retiree,0.5882,EESTATU,alcohol_dependence,obesity
Medicare Eligible Retiree,0.5673,EESTATU,alcohol_dependence,obesity
COBRA Continuee,0.402,EESTATU,alcohol_dependence,obesity
Long Term Disability,0.2084,EESTATU,alcohol_dependence,obesity
Other/Unknown,0.3996,EESTATU,alcohol_dependence,obesity
Retiree (status unknown),0.6229,EESTATU,alcohol_dependence,obesity
Surviving Spouse/Depend.,0.3446,EESTATU,alcohol_dependence,obesity
"Manufacturing, Durable Goods",0.5996,INDSTRY,alcohol_dependence,schizophrenia
"Manufacturing, Nondurable Goods",0.3035,INDSTRY,alcohol_dependence,schizophrenia
"Transportation, Communications, Utilities",0.3924,INDSTRY,alcohol_dependence,schizophrenia
Retail Trade,0.569,INDSTRY,alcohol_dependence,schizophrenia
"Finance, Insurance, Real Estate",0.3825,INDSTRY,alcohol_dependence,schizophrenia
Services,0.4316,INDSTRY,alcohol_dependence,schizophrenia
"Oil & Gas Extraction, Mining",0.2692,INDSTRY,alcohol_dependence,schizophrenia
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,alcohol_dependence,schizophrenia
Construction,0.54,INDSTRY,alcohol_dependence,schizophrenia
Wholesale,0.0908,INDSTRY,alcohol_dependence,schizophrenia
Salary Non-union,0.3314,EECLASS,alcohol_dependence,schizophrenia
Salary Other,0.4695,EECLASS,alcohol_dependence,schizophrenia
Hourly Non-union,0.3683,EECLASS,alcohol_dependence,schizophrenia
Hourly Union,0.6252,EECLASS,alcohol_dependence,schizophrenia
Hourly Other,0.1137,EECLASS,alcohol_dependence,schizophrenia
Non-union,0.3321,EECLASS,alcohol_dependence,schizophrenia
Union,0.483,EECLASS,alcohol_dependence,schizophrenia
Unknown,0.4475,EECLASS,alcohol_dependence,schizophrenia
Salary Union,0.608,EECLASS,alcohol_dependence,schizophrenia
Active Full Time,0.2589,EESTATU,alcohol_dependence,schizophrenia
Active Part Time or Seasonal,0.3503,EESTATU,alcohol_dependence,schizophrenia
Early Retiree,0.542,EESTATU,alcohol_dependence,schizophrenia
Medicare Eligible Retiree,0.5106,EESTATU,alcohol_dependence,schizophrenia
COBRA Continuee,0.4668,EESTATU,alcohol_dependence,schizophrenia
Long Term Disability,-0.0461,EESTATU,alcohol_dependence,schizophrenia
Other/Unknown,0.1998,EESTATU,alcohol_dependence,schizophrenia
Retiree (status unknown),0.2392,EESTATU,alcohol_dependence,schizophrenia
Surviving Spouse/Depend.,0.2109,EESTATU,alcohol_dependence,schizophrenia
"Manufacturing, Durable Goods",0.1647,INDSTRY,alcohol_dependence,suicide
"Manufacturing, Nondurable Goods",0.3247,INDSTRY,alcohol_dependence,suicide
"Transportation, Communications, Utilities",0.1695,INDSTRY,alcohol_dependence,suicide
Retail Trade,0.198,INDSTRY,alcohol_dependence,suicide
"Finance, Insurance, Real Estate",-0.0406,INDSTRY,alcohol_dependence,suicide
Services,0.3603,INDSTRY,alcohol_dependence,suicide
"Oil & Gas Extraction, Mining",0.3942,INDSTRY,alcohol_dependence,suicide
"Agriculture, Forestry, Fishing",NA,INDSTRY,alcohol_dependence,suicide
Construction,0.3949,INDSTRY,alcohol_dependence,suicide
Wholesale,0.1899,INDSTRY,alcohol_dependence,suicide
Salary Non-union,0.2703,EECLASS,alcohol_dependence,suicide
Salary Other,0.3079,EECLASS,alcohol_dependence,suicide
Hourly Non-union,0.1062,EECLASS,alcohol_dependence,suicide
Hourly Union,0.511,EECLASS,alcohol_dependence,suicide
Hourly Other,0.1012,EECLASS,alcohol_dependence,suicide
Non-union,0.1533,EECLASS,alcohol_dependence,suicide
Union,0.1995,EECLASS,alcohol_dependence,suicide
Unknown,0.2473,EECLASS,alcohol_dependence,suicide
Salary Union,0.2145,EECLASS,alcohol_dependence,suicide
Active Full Time,0.1729,EESTATU,alcohol_dependence,suicide
Active Part Time or Seasonal,0.3361,EESTATU,alcohol_dependence,suicide
Early Retiree,0.0778,EESTATU,alcohol_dependence,suicide
Medicare Eligible Retiree,0.2672,EESTATU,alcohol_dependence,suicide
COBRA Continuee,0.0709,EESTATU,alcohol_dependence,suicide
Long Term Disability,0.0954,EESTATU,alcohol_dependence,suicide
Other/Unknown,0.057,EESTATU,alcohol_dependence,suicide
Retiree (status unknown),0.2882,EESTATU,alcohol_dependence,suicide
Surviving Spouse/Depend.,-0.077,EESTATU,alcohol_dependence,suicide
"Manufacturing, Durable Goods",0.814,INDSTRY,anxiety,depression
"Manufacturing, Nondurable Goods",0.7976,INDSTRY,anxiety,depression
"Transportation, Communications, Utilities",0.8412,INDSTRY,anxiety,depression
Retail Trade,0.7052,INDSTRY,anxiety,depression
"Finance, Insurance, Real Estate",0.8181,INDSTRY,anxiety,depression
Services,0.9094,INDSTRY,anxiety,depression
Wholesale,0.6413,INDSTRY,anxiety,depression
"Oil & Gas Extraction, Mining",0.856,INDSTRY,anxiety,depression
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,depression
Construction,0.8531,INDSTRY,anxiety,depression
Salary Non-union,0.5521,EECLASS,anxiety,depression
Salary Union,0.6274,EECLASS,anxiety,depression
Salary Other,0.7565,EECLASS,anxiety,depression
Hourly Non-union,0.7296,EECLASS,anxiety,depression
Hourly Union,0.8315,EECLASS,anxiety,depression
Hourly Other,0.8609,EECLASS,anxiety,depression
Non-union,0.7288,EECLASS,anxiety,depression
Union,0.6841,EECLASS,anxiety,depression
Unknown,0.7964,EECLASS,anxiety,depression
Active Full Time,0.5555,EESTATU,anxiety,depression
Active Part Time or Seasonal,0.4696,EESTATU,anxiety,depression
Early Retiree,0.6005,EESTATU,anxiety,depression
Medicare Eligible Retiree,0.6668,EESTATU,anxiety,depression
COBRA Continuee,0.5156,EESTATU,anxiety,depression
Long Term Disability,0.4541,EESTATU,anxiety,depression
Surviving Spouse/Depend.,0.5855,EESTATU,anxiety,depression
Other/Unknown,0.4644,EESTATU,anxiety,depression
Retiree (status unknown),0.4955,EESTATU,anxiety,depression
"Manufacturing, Durable Goods",0.4227,INDSTRY,anxiety,regional_enteritis
"Manufacturing, Nondurable Goods",0.5395,INDSTRY,anxiety,regional_enteritis
"Transportation, Communications, Utilities",0.4663,INDSTRY,anxiety,regional_enteritis
Retail Trade,0.503,INDSTRY,anxiety,regional_enteritis
"Finance, Insurance, Real Estate",0.5997,INDSTRY,anxiety,regional_enteritis
Services,0.6724,INDSTRY,anxiety,regional_enteritis
Wholesale,0.2733,INDSTRY,anxiety,regional_enteritis
"Oil & Gas Extraction, Mining",0.4527,INDSTRY,anxiety,regional_enteritis
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,regional_enteritis
Construction,0.5637,INDSTRY,anxiety,regional_enteritis
Salary Non-union,0.5712,EECLASS,anxiety,regional_enteritis
Salary Union,0.4516,EECLASS,anxiety,regional_enteritis
Salary Other,0.5835,EECLASS,anxiety,regional_enteritis
Hourly Non-union,0.4692,EECLASS,anxiety,regional_enteritis
Hourly Union,0.6521,EECLASS,anxiety,regional_enteritis
Hourly Other,0.519,EECLASS,anxiety,regional_enteritis
Non-union,0.5253,EECLASS,anxiety,regional_enteritis
Union,0.3765,EECLASS,anxiety,regional_enteritis
Unknown,0.5942,EECLASS,anxiety,regional_enteritis
Active Full Time,0.1537,EESTATU,anxiety,regional_enteritis
Active Part Time or Seasonal,0.1846,EESTATU,anxiety,regional_enteritis
Early Retiree,0.213,EESTATU,anxiety,regional_enteritis
Medicare Eligible Retiree,0.382,EESTATU,anxiety,regional_enteritis
COBRA Continuee,0.0366,EESTATU,anxiety,regional_enteritis
Long Term Disability,0.3552,EESTATU,anxiety,regional_enteritis
Surviving Spouse/Depend.,0.4137,EESTATU,anxiety,regional_enteritis
Other/Unknown,0.3422,EESTATU,anxiety,regional_enteritis
Retiree (status unknown),0.4195,EESTATU,anxiety,regional_enteritis
"Manufacturing, Durable Goods",0.6146,INDSTRY,anxiety,alcohol_dependence
"Manufacturing, Nondurable Goods",0.7071,INDSTRY,anxiety,alcohol_dependence
"Transportation, Communications, Utilities",0.6764,INDSTRY,anxiety,alcohol_dependence
Retail Trade,0.7964,INDSTRY,anxiety,alcohol_dependence
"Finance, Insurance, Real Estate",0.7854,INDSTRY,anxiety,alcohol_dependence
Services,0.6716,INDSTRY,anxiety,alcohol_dependence
Wholesale,0.3487,INDSTRY,anxiety,alcohol_dependence
"Oil & Gas Extraction, Mining",0.6257,INDSTRY,anxiety,alcohol_dependence
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,alcohol_dependence
Construction,0.8327,INDSTRY,anxiety,alcohol_dependence
Salary Non-union,0.5729,EECLASS,anxiety,alcohol_dependence
Salary Union,0.5688,EECLASS,anxiety,alcohol_dependence
Salary Other,0.4331,EECLASS,anxiety,alcohol_dependence
Hourly Non-union,0.5988,EECLASS,anxiety,alcohol_dependence
Hourly Union,0.6665,EECLASS,anxiety,alcohol_dependence
Hourly Other,0.7121,EECLASS,anxiety,alcohol_dependence
Non-union,0.7591,EECLASS,anxiety,alcohol_dependence
Union,0.4549,EECLASS,anxiety,alcohol_dependence
Unknown,0.5914,EECLASS,anxiety,alcohol_dependence
Active Full Time,0.4774,EESTATU,anxiety,alcohol_dependence
Active Part Time or Seasonal,0.2667,EESTATU,anxiety,alcohol_dependence
Early Retiree,0.5987,EESTATU,anxiety,alcohol_dependence
Medicare Eligible Retiree,0.4461,EESTATU,anxiety,alcohol_dependence
COBRA Continuee,0.5298,EESTATU,anxiety,alcohol_dependence
Long Term Disability,0.4079,EESTATU,anxiety,alcohol_dependence
Surviving Spouse/Depend.,0.3197,EESTATU,anxiety,alcohol_dependence
Other/Unknown,0.2411,EESTATU,anxiety,alcohol_dependence
Retiree (status unknown),0.2993,EESTATU,anxiety,alcohol_dependence
"Manufacturing, Durable Goods",0.5692,INDSTRY,anxiety,bipolar
"Manufacturing, Nondurable Goods",0.5195,INDSTRY,anxiety,bipolar
"Transportation, Communications, Utilities",0.5844,INDSTRY,anxiety,bipolar
Retail Trade,0.697,INDSTRY,anxiety,bipolar
"Finance, Insurance, Real Estate",0.7438,INDSTRY,anxiety,bipolar
Services,0.6667,INDSTRY,anxiety,bipolar
Wholesale,0.2911,INDSTRY,anxiety,bipolar
"Oil & Gas Extraction, Mining",0.439,INDSTRY,anxiety,bipolar
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,bipolar
Construction,0.5807,INDSTRY,anxiety,bipolar
Salary Non-union,0.529,EECLASS,anxiety,bipolar
Salary Union,0.3322,EECLASS,anxiety,bipolar
Salary Other,0.454,EECLASS,anxiety,bipolar
Hourly Non-union,0.6122,EECLASS,anxiety,bipolar
Hourly Union,0.7127,EECLASS,anxiety,bipolar
Hourly Other,0.7023,EECLASS,anxiety,bipolar
Non-union,0.7327,EECLASS,anxiety,bipolar
Union,0.7294,EECLASS,anxiety,bipolar
Unknown,0.5929,EECLASS,anxiety,bipolar
Active Full Time,0.1495,EESTATU,anxiety,bipolar
Active Part Time or Seasonal,0.1341,EESTATU,anxiety,bipolar
Early Retiree,0.5548,EESTATU,anxiety,bipolar
Medicare Eligible Retiree,0.7146,EESTATU,anxiety,bipolar
COBRA Continuee,0.1939,EESTATU,anxiety,bipolar
Long Term Disability,0.3794,EESTATU,anxiety,bipolar
Surviving Spouse/Depend.,0.3387,EESTATU,anxiety,bipolar
Other/Unknown,0.328,EESTATU,anxiety,bipolar
Retiree (status unknown),0.4111,EESTATU,anxiety,bipolar
"Manufacturing, Durable Goods",0.81,INDSTRY,anxiety,diabetes
"Manufacturing, Nondurable Goods",0.6089,INDSTRY,anxiety,diabetes
"Transportation, Communications, Utilities",0.5835,INDSTRY,anxiety,diabetes
Retail Trade,0.5504,INDSTRY,anxiety,diabetes
"Finance, Insurance, Real Estate",0.6778,INDSTRY,anxiety,diabetes
Services,0.6185,INDSTRY,anxiety,diabetes
Wholesale,0.3147,INDSTRY,anxiety,diabetes
"Oil & Gas Extraction, Mining",0.7505,INDSTRY,anxiety,diabetes
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,diabetes
Construction,0.279,INDSTRY,anxiety,diabetes
Salary Non-union,0.6748,EECLASS,anxiety,diabetes
Salary Union,0.4956,EECLASS,anxiety,diabetes
Salary Other,0.6989,EECLASS,anxiety,diabetes
Hourly Non-union,0.5685,EECLASS,anxiety,diabetes
Hourly Union,0.7306,EECLASS,anxiety,diabetes
Hourly Other,0.6869,EECLASS,anxiety,diabetes
Non-union,0.6422,EECLASS,anxiety,diabetes
Union,0.6302,EECLASS,anxiety,diabetes
Unknown,0.6704,EECLASS,anxiety,diabetes
Active Full Time,0.0235,EESTATU,anxiety,diabetes
Active Part Time or Seasonal,0.1501,EESTATU,anxiety,diabetes
Early Retiree,0.5932,EESTATU,anxiety,diabetes
Medicare Eligible Retiree,0.7813,EESTATU,anxiety,diabetes
COBRA Continuee,0.1292,EESTATU,anxiety,diabetes
Long Term Disability,0.3616,EESTATU,anxiety,diabetes
Surviving Spouse/Depend.,0.5509,EESTATU,anxiety,diabetes
Other/Unknown,0.1709,EESTATU,anxiety,diabetes
Retiree (status unknown),0.3296,EESTATU,anxiety,diabetes
"Manufacturing, Durable Goods",0.786,INDSTRY,anxiety,drug_dependence
"Manufacturing, Nondurable Goods",0.8511,INDSTRY,anxiety,drug_dependence
"Transportation, Communications, Utilities",0.6853,INDSTRY,anxiety,drug_dependence
Retail Trade,0.7974,INDSTRY,anxiety,drug_dependence
"Finance, Insurance, Real Estate",0.7504,INDSTRY,anxiety,drug_dependence
Services,0.7813,INDSTRY,anxiety,drug_dependence
Wholesale,0.4928,INDSTRY,anxiety,drug_dependence
"Oil & Gas Extraction, Mining",0.7697,INDSTRY,anxiety,drug_dependence
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,drug_dependence
Construction,0.6224,INDSTRY,anxiety,drug_dependence
Salary Non-union,0.7864,EECLASS,anxiety,drug_dependence
Salary Union,0.5947,EECLASS,anxiety,drug_dependence
Salary Other,0.5842,EECLASS,anxiety,drug_dependence
Hourly Non-union,0.7909,EECLASS,anxiety,drug_dependence
Hourly Union,0.7945,EECLASS,anxiety,drug_dependence
Hourly Other,0.6148,EECLASS,anxiety,drug_dependence
Non-union,0.804,EECLASS,anxiety,drug_dependence
Union,0.7626,EECLASS,anxiety,drug_dependence
Unknown,0.7668,EECLASS,anxiety,drug_dependence
Active Full Time,0.5471,EESTATU,anxiety,drug_dependence
Active Part Time or Seasonal,0.754,EESTATU,anxiety,drug_dependence
Early Retiree,0.6569,EESTATU,anxiety,drug_dependence
Medicare Eligible Retiree,0.5861,EESTATU,anxiety,drug_dependence
COBRA Continuee,0.1116,EESTATU,anxiety,drug_dependence
Long Term Disability,0.6565,EESTATU,anxiety,drug_dependence
Surviving Spouse/Depend.,0.3948,EESTATU,anxiety,drug_dependence
Other/Unknown,0.3932,EESTATU,anxiety,drug_dependence
Retiree (status unknown),0.2283,EESTATU,anxiety,drug_dependence
"Manufacturing, Durable Goods",0.8301,INDSTRY,anxiety,hypertension
"Manufacturing, Nondurable Goods",0.6917,INDSTRY,anxiety,hypertension
"Transportation, Communications, Utilities",0.5902,INDSTRY,anxiety,hypertension
Retail Trade,0.6579,INDSTRY,anxiety,hypertension
"Finance, Insurance, Real Estate",0.6585,INDSTRY,anxiety,hypertension
Services,0.6541,INDSTRY,anxiety,hypertension
Wholesale,0.4492,INDSTRY,anxiety,hypertension
"Oil & Gas Extraction, Mining",0.7123,INDSTRY,anxiety,hypertension
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,hypertension
Construction,0.4456,INDSTRY,anxiety,hypertension
Salary Non-union,0.5863,EECLASS,anxiety,hypertension
Salary Union,0.5007,EECLASS,anxiety,hypertension
Salary Other,0.6537,EECLASS,anxiety,hypertension
Hourly Non-union,0.629,EECLASS,anxiety,hypertension
Hourly Union,0.7344,EECLASS,anxiety,hypertension
Hourly Other,0.7409,EECLASS,anxiety,hypertension
Non-union,0.687,EECLASS,anxiety,hypertension
Union,0.6422,EECLASS,anxiety,hypertension
Unknown,0.7219,EECLASS,anxiety,hypertension
Active Full Time,-0.1144,EESTATU,anxiety,hypertension
Active Part Time or Seasonal,0.5498,EESTATU,anxiety,hypertension
Early Retiree,0.6264,EESTATU,anxiety,hypertension
Medicare Eligible Retiree,0.776,EESTATU,anxiety,hypertension
COBRA Continuee,0.3968,EESTATU,anxiety,hypertension
Long Term Disability,0.3189,EESTATU,anxiety,hypertension
Surviving Spouse/Depend.,0.6401,EESTATU,anxiety,hypertension
Other/Unknown,0.3798,EESTATU,anxiety,hypertension
Retiree (status unknown),0.4527,EESTATU,anxiety,hypertension
"Manufacturing, Durable Goods",0.8468,INDSTRY,anxiety,lipid_metabolism
"Manufacturing, Nondurable Goods",0.7203,INDSTRY,anxiety,lipid_metabolism
"Transportation, Communications, Utilities",0.6257,INDSTRY,anxiety,lipid_metabolism
Retail Trade,0.4685,INDSTRY,anxiety,lipid_metabolism
"Finance, Insurance, Real Estate",0.7452,INDSTRY,anxiety,lipid_metabolism
Services,0.7648,INDSTRY,anxiety,lipid_metabolism
Wholesale,0.2183,INDSTRY,anxiety,lipid_metabolism
"Oil & Gas Extraction, Mining",0.6765,INDSTRY,anxiety,lipid_metabolism
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,lipid_metabolism
Construction,0.226,INDSTRY,anxiety,lipid_metabolism
Salary Non-union,0.8607,EECLASS,anxiety,lipid_metabolism
Salary Union,0.5488,EECLASS,anxiety,lipid_metabolism
Salary Other,0.6913,EECLASS,anxiety,lipid_metabolism
Hourly Non-union,0.743,EECLASS,anxiety,lipid_metabolism
Hourly Union,0.7025,EECLASS,anxiety,lipid_metabolism
Hourly Other,0.6767,EECLASS,anxiety,lipid_metabolism
Non-union,0.6603,EECLASS,anxiety,lipid_metabolism
Union,0.6611,EECLASS,anxiety,lipid_metabolism
Unknown,0.6975,EECLASS,anxiety,lipid_metabolism
Active Full Time,0.6751,EESTATU,anxiety,lipid_metabolism
Active Part Time or Seasonal,0.5985,EESTATU,anxiety,lipid_metabolism
Early Retiree,0.6221,EESTATU,anxiety,lipid_metabolism
